mag_id,coassembly_ecozone,completeness,contamination,strain_heterogeneity,genome_size_mbp,gc,n_genes,coding_density,n_contigs,n50,n_trna_genes,n_trna_aminoacids,n_16s_rrna_genes,n_23s_rrna_genes,n_5s_rrna_genes,mimag_quality,domain,phylum,class,order,family,genus,species,taxon
AH_bin710,Atlantic Highlands,79.59,9.21,0,1.756006,41.07440407,1940,0.921728058,341,5469,22,13,0,0,0,medium,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,DDPF01,NA,Gammaproteobacteria
AH_bin711,Atlantic Highlands,77.93,5.37,7.41,2.621291,63.50141972,2832,0.943142139,390,8260,21,11,0,0,0,medium,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Rhodoferax,NA,Gammaproteobacteria
AH_bin717,Atlantic Highlands,52.95,0,0,0.732933,55.06274107,823,0.956915571,162,4657,13,9,0,0,0,medium,Bacteria,Actinobacteriota,Actinomycetia,Actinomycetales,Microbacteriaceae,Rhodoluna,NA,Actinobacteriota
AH_bin721,Atlantic Highlands,72.34,0,0,2.694705,65.83099078,2449,0.87377134,464,6653,36,16,0,1,0,medium,Bacteria,Planctomycetota,Phycisphaerae,Phycisphaerales,SM1A02,UBA2402,NA,Planctomycetota
AH_bin729,Atlantic Highlands,65.41,0,0,1.158663,66.38176933,1314,0.935096745,229,5219,16,10,0,0,0,medium,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,UBA3065,UBA3065,NA,Gammaproteobacteria
AH_bin73,Atlantic Highlands,61.21,0,0,0.846738,46.87943614,958,0.955749004,167,5299,14,10,0,0,0,medium,Bacteria,Actinobacteriota,Actinomycetia,Nanopelagicales,Nanopelagicaceae,AAA044-D11,NA,Actinobacteriota
AH_bin731,Atlantic Highlands,59.68,0.9,0,1.129774,40.31452308,1243,0.941048387,234,5052,24,17,0,0,0,medium,Bacteria,Verrucomicrobiota_A,Chlamydiia,Parachlamydiales,NA,NA,NA,Verrucomicrobiota/_A
AH_bin738,Atlantic Highlands,83.4,0.74,0,3.294601,52.86828359,2791,0.930158462,169,30547,27,16,0,0,0,medium,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,SXYR01,NA,Bacteroidota
AH_bin748,Atlantic Highlands,56.03,0,0,0.929462,35.22349488,1026,0.914718407,212,4504,30,17,0,0,0,medium,Bacteria,Verrucomicrobiota_A,Chlamydiia,Parachlamydiales,Simkaniaceae,NA,NA,Verrucomicrobiota/_A
AH_bin751,Atlantic Highlands,61.42,0.26,0,2.500303,66.26304892,2758,0.919849314,495,5464,25,17,0,0,0,medium,Bacteria,Actinobacteriota,Actinomycetia,Nanopelagicales,S36-B12,NA,NA,Actinobacteriota
AH_bin758,Atlantic Highlands,65.1,1.02,0,3.217446,59.07981051,3245,0.924138276,654,5192,20,12,0,0,0,medium,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,NA,NA,Verrucomicrobiota/_A
AH_bin767,Atlantic Highlands,81.3,0.57,0,3.727924,70.56659417,3058,0.90919155,373,14664,45,18,1,2,1,medium,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,UBA1268,NA,NA,Planctomycetota
AH_bin794,Atlantic Highlands,71.14,0,0,3.45435,52.05584263,3058,0.91020713,731,4908,15,11,0,0,0,medium,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Pirellula_B,NA,Planctomycetota
AH_bin798,Atlantic Highlands,88.17,0.18,0,2.925785,44.0212114,2712,0.9175288,324,12091,20,12,0,0,0,medium,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,UA16,UBA4660,NA,Bacteroidota
AH_bin809,Atlantic Highlands,69.29,1.65,0,1.070087,31.77451927,1134,0.916602108,227,5151,17,13,0,1,0,medium,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,UBA1997,SYAR01,NA,Alphaproteobacteria
AH_bin822,Atlantic Highlands,62.48,2.42,0,2.87086,35.5891266,2949,0.928947075,624,4801,16,8,1,0,0,medium,Bacteria,Bacteroidota,Bacteroidia,NS11-12g,UKL13-3,B1,NA,Bacteroidota
AH_bin830,Atlantic Highlands,92.57,1.49,0,3.207218,54.63429676,3049,0.906432615,334,13503,44,17,0,0,0,medium,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,SCTL01,NA,Verrucomicrobiota/_A
AH_bin844,Atlantic Highlands,60.29,2.04,0,2.180508,50.21417028,2375,0.937007798,457,5092,14,9,0,0,0,medium,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,SCGC-AAA027-K21,NA,Gammaproteobacteria
AH_bin85,Atlantic Highlands,89.66,6.95,4.55,10.168591,73.21763654,9249,0.927935935,1168,11095,76,19,0,0,0,medium,Bacteria,Myxococcota,Polyangia,Polyangiales,Ga0077539,NA,NA,Myxococcota
AH_bin854,Atlantic Highlands,57.76,0,0,1.774646,40.98552613,1839,0.942202558,392,4825,12,8,0,0,0,medium,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,UA16,UBA4660,NA,Bacteroidota
AH_bin874,Atlantic Highlands,94.67,0.32,0,1.802613,57.49936342,1793,0.937982251,33,102453,38,18,0,0,2,high,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Paddy-1,NA,Gammaproteobacteria
AH_bin876,Atlantic Highlands,57.21,0.93,0,1.92821,57.29505604,2165,0.928487561,412,4935,25,15,0,0,0,medium,Bacteria,Armatimonadota,Fimbriimonadia,Fimbriimonadales,Fimbriimonadaceae,Fimbriimonas,NA,Armatimonadota
AH_bin89,Atlantic Highlands,88.07,1.62,0,2.04167,40.84597413,1939,0.896070374,256,10496,38,18,0,0,0,medium,Bacteria,Verrucomicrobiota_A,Chlamydiia,Parachlamydiales,Rhabdochlamydiaceae,NA,NA,Verrucomicrobiota/_A
AH_bin9,Atlantic Highlands,51.86,0.74,0,1.116833,40.20529479,1180,0.903214715,289,3891,5,5,0,0,0,medium,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Ferruginibacter,NA,Bacteroidota
AH_bin946,Atlantic Highlands,77.35,4.29,0,1.855755,41.28583784,2016,0.864940685,243,9553,38,20,1,0,0,medium,Bacteria,Proteobacteria,Alphaproteobacteria,Caedimonadales,Caedimonadaceae,Caedimonas,Caedimonas varicaedens,Alphaproteobacteria
AH_bin969,Atlantic Highlands,78.79,1.72,0,2.464648,36.06839597,2358,0.939571087,375,8133,17,10,1,0,0,medium,Bacteria,Bacteroidota,Bacteroidia,NS11-12g,UKL13-3,B1,NA,Bacteroidota
AH_bin971,Atlantic Highlands,78.73,0.3,0,2.022317,67.10263524,2061,0.956100849,267,9665,31,15,0,0,0,medium,Bacteria,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Steroidobacteraceae,UBA964,UBA964 sp002292945,Gammaproteobacteria
AH_bin997,Atlantic Highlands,65.52,0,0,2.073878,44.60575791,1921,0.947430852,316,7724,11,9,0,0,0,medium,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,SXYR01,NA,Bacteroidota
AM_bin1046,Atlantic Maritime,75.85,1.52,0,2.633233,69.33890772,2753,0.945207659,416,7249,33,17,1,1,1,medium,Bacteria,Actinobacteriota,Actinomycetia,Mycobacteriales,Mycobacteriaceae,Mycobacterium,NA,Actinobacteriota
AM_bin1072,Atlantic Maritime,97.44,1.28,0,1.715144,55.49988806,1707,0.937040855,135,17598,43,18,1,1,1,high,Bacteria,Actinobacteriota,Acidimicrobiia,Acidimicrobiales,RAAP-2,NA,NA,Actinobacteriota
AM_bin118,Atlantic Maritime,56.77,0.59,0,1.254261,49.32274861,1285,0.876847801,289,4323,17,11,0,0,0,medium,Bacteria,Bdellovibrionota_C,UBA2361,UBA2361,UBA2361,NA,NA,Bdellovibrionota/_C
AM_bin135,Atlantic Maritime,55.62,0,0,1.410816,34.95806682,1519,0.887626026,352,3982,16,12,0,0,0,medium,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,OLB11,NA,Bacteroidota
AM_bin153,Atlantic Maritime,57.05,0,0,1.855453,36.34584115,1696,0.943089909,206,12158,6,5,0,0,0,medium,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Sediminibacterium,NA,Bacteroidota
AM_bin157,Atlantic Maritime,60.77,0,0,1.916584,61.31487062,2154,0.948158286,372,5744,25,16,0,0,0,medium,Bacteria,Eremiobacterota,Eremiobacteria,UBP12,UBA5184,Bog-1524,NA,Eremiobacterota
AM_bin169,Atlantic Maritime,90.12,0,0,1.92259,40.15619555,1711,0.810521744,179,14472,35,18,0,0,0,high,Bacteria,Bdellovibrionota,Bdellovibrionia_A,UBA1018,NA,NA,NA,Bdellovibrionota/_C
AM_bin173,Atlantic Maritime,94.62,0,0,1.164303,43.90463651,1141,0.912513323,109,15588,40,20,1,1,1,high,Bacteria,Proteobacteria,Alphaproteobacteria,UBA7879,UBA5542,NA,NA,Alphaproteobacteria
AM_bin177,Atlantic Maritime,88.35,7.15,4.17,1.872735,43.75600392,1975,0.934322261,177,20542,25,13,0,0,0,medium,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Methylophilaceae,Methylopumilus_A,NA,Gammaproteobacteria
AM_bin184,Atlantic Maritime,94.14,0.44,0,4.042272,45.32913668,3922,0.820956136,331,16471,40,19,0,0,0,high,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Microcystaceae,NA,NA,Cyanobacteria
AM_bin198,Atlantic Maritime,65.95,0,0,1.010233,44.79036024,1135,0.953806696,181,6038,21,12,0,0,0,medium,Bacteria,Actinobacteriota,Actinomycetia,Nanopelagicales,Nanopelagicaceae,AAA044-D11,NA,Actinobacteriota
AM_bin201,Atlantic Maritime,51.49,0,0,0.78829,62.25526139,829,0.962653338,141,6207,13,10,0,0,0,medium,Bacteria,Chloroflexota,Ellin6529,CSP1-4,UBA10416,UBA10416,NA,Chloroflexota
AM_bin219,Atlantic Maritime,86.21,0,0,1.196342,60.25684963,1372,0.929328737,199,6988,31,18,1,1,1,medium,Bacteria,Actinobacteriota,Thermoleophilia,Ga0077560,Ga0077560,Ga0077560,NA,Actinobacteriota
AM_bin220,Atlantic Maritime,50.47,0,0,1.985474,54.85783244,2224,0.939513184,362,5833,13,8,0,0,0,medium,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Limnohabitans,NA,Gammaproteobacteria
AM_bin231,Atlantic Maritime,76.55,1.72,0,1.637739,49.40408698,1604,0.91162267,231,8984,28,14,0,1,0,medium,Bacteria,Margulisbacteria,Marinamargulisbacteria,SXXA01,NA,NA,NA,Margulisbacteria
AM_bin232,Atlantic Maritime,79.14,0,0,2.640705,35.5460379,2228,0.936215518,95,67877,30,16,0,0,0,medium,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Sediminibacterium,NA,Bacteroidota
AM_bin245,Atlantic Maritime,93.96,0.59,0,3.733334,47.47590224,3590,0.875457165,281,18734,30,16,0,0,0,medium,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,SG8-41,UBA5216,NA,Gammaproteobacteria
AM_bin257,Atlantic Maritime,66.55,0.43,0,2.196623,65.44837234,2428,0.923973299,437,5433,30,15,0,1,1,medium,Bacteria,Actinobacteriota,Acidimicrobiia,Acidimicrobiales,NA,NA,NA,Actinobacteriota
AM_bin264,Atlantic Maritime,68.32,0,0,1.519052,35.97230378,1656,0.928348075,301,5498,19,14,2,1,0,medium,Bacteria,Cyanobacteria,Vampirovibrionia,Caenarcaniphilales,LMEP-6097,LMEP-6097,NA,Cyanobacteria
AM_bin266,Atlantic Maritime,57.81,1.75,0,0.898861,47.17759476,1028,0.953547879,162,6222,21,13,0,0,0,medium,Bacteria,Actinobacteriota,Actinomycetia,Actinomycetales,Microbacteriaceae,Rhodoluna,NA,Actinobacteriota
AM_bin320,Atlantic Maritime,51.21,0,0,2.411998,52.17002668,2603,0.94589838,417,6406,16,12,0,0,0,medium,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,SCGC-AAA027-K21,NA,Gammaproteobacteria
AM_bin361,Atlantic Maritime,52.59,0,0,1.773446,48.25841892,1899,0.9198893,345,5493,10,8,0,0,0,medium,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Limnohabitans,NA,Gammaproteobacteria
AM_bin367,Atlantic Maritime,51.72,0.86,0,1.518123,58.95398462,1832,0.927140291,376,4063,11,9,0,0,0,medium,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,28-YEA-48,NA,Alphaproteobacteria
AM_bin372,Atlantic Maritime,94.23,2.22,0,3.953316,45.08043374,3848,0.902547633,297,19865,28,13,0,0,0,medium,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Flavipsychrobacter,NA,Bacteroidota
AM_bin388,Atlantic Maritime,52.04,0,0,2.020957,58.00920059,2114,0.936051583,316,7693,19,12,0,0,0,medium,Bacteria,Actinobacteriota,Actinomycetia,Nanopelagicales,FW305-bin1,NA,NA,Actinobacteriota
AM_bin391,Atlantic Maritime,68.3,0,0,1.040774,44.18211831,1137,0.959245715,150,8510,20,12,0,0,0,medium,Bacteria,Actinobacteriota,Actinomycetia,Nanopelagicales,Nanopelagicaceae,UBA7398,UBA7398 sp002470135,Actinobacteriota
AM_bin40,Atlantic Maritime,86.05,0,0,0.746234,34.44643369,736,0.890519596,26,49907,40,20,1,1,1,medium,Bacteria,Patescibacteria,Paceibacteria,SW-4-49-11,SW-4-49-11,NA,NA,Patescibacteria
AM_bin401,Atlantic Maritime,61.5,1.33,0,1.644444,40.6131799,1794,0.945348093,315,5722,9,6,0,0,0,medium,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Polynucleobacter,NA,Gammaproteobacteria
AM_bin420,Atlantic Maritime,92.73,1.94,0,1.675656,43.01688413,1528,0.920596471,102,28268,35,18,1,0,0,high,Bacteria,Proteobacteria,Gammaproteobacteria,Coxiellales,Coxiellaceae,2-12-FULL-42-15,NA,Gammaproteobacteria
AM_bin423,Atlantic Maritime,66.81,0,0,0.783156,45.60994234,893,0.956908968,147,5718,13,7,1,0,0,medium,Bacteria,Actinobacteriota,Actinomycetia,Nanopelagicales,Nanopelagicaceae,QYPT01,NA,Actinobacteriota
AM_bin426,Atlantic Maritime,59.48,0,0,1.498885,62.30051005,1676,0.962173215,301,5217,14,9,0,0,0,medium,Bacteria,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Steroidobacteraceae,UBA964,NA,Gammaproteobacteria
AM_bin435,Atlantic Maritime,63.89,0.99,0,1.52353,36.12977756,1523,0.882798501,354,4373,10,7,0,0,0,medium,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,UBA10324,NA,NA,Bacteroidota
AM_bin439,Atlantic Maritime,64.66,0,0,2.50845,50.01566705,2607,0.902058642,442,6026,14,9,0,0,0,medium,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Limnohabitans,NA,Gammaproteobacteria
AM_bin447,Atlantic Maritime,51.88,0,0,2.390016,34.8105201,2344,0.9315946,428,6330,11,10,0,0,1,medium,Bacteria,Bacteroidota,Bacteroidia,AKYH767-A,NA,NA,NA,Bacteroidota
AM_bin451,Atlantic Maritime,52.28,0,0,2.918265,70.19646948,2748,0.932884436,641,4785,18,11,0,0,0,medium,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Opitutales,Opitutaceae,Opitutus,NA,Verrucomicrobiota/_A
AM_bin463,Atlantic Maritime,66.52,1.39,0,1.56202,59.67759696,1536,0.941663999,283,5965,22,13,0,0,0,medium,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Opitutales,UBA953,UBA953,NA,Verrucomicrobiota/_A
AM_bin464,Atlantic Maritime,51.93,1.84,0,1.022164,47.74869786,1161,0.948080739,201,5428,14,10,0,0,0,medium,Bacteria,Actinobacteriota,Actinomycetia,Nanopelagicales,Nanopelagicaceae,PALSA-747,NA,Actinobacteriota
AM_bin466,Atlantic Maritime,60.7,0.68,0,2.052798,59.2684229,2036,0.879580943,418,5182,17,12,0,0,0,medium,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,NA,NA,Verrucomicrobiota/_A
AM_bin468,Atlantic Maritime,84.13,0.43,0,1.385651,60.98822864,1469,0.942252414,145,12969,31,18,0,0,0,medium,Bacteria,Actinobacteriota,Acidimicrobiia,Acidimicrobiales,RAAP-2,RAAP-2,NA,Actinobacteriota
AM_bin469,Atlantic Maritime,63.78,0,0,1.132268,51.20201224,1171,0.94612053,188,7054,23,12,0,0,0,medium,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Opitutales,UBA953,UBA953,NA,Verrucomicrobiota/_A
AM_bin474,Atlantic Maritime,99.92,3.6,0,3.46553,63.32944744,3368,0.9224413,199,28430,47,19,1,1,1,high,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,NA,NA,NA,Verrucomicrobiota/_A
AM_bin481,Atlantic Maritime,95.68,0,0,2.09574,43.64897363,1997,0.961770544,176,16023,24,17,0,0,0,medium,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Crocinitomicaceae,UBA952,NA,Bacteroidota
AM_bin487,Atlantic Maritime,55.69,0.73,0,1.526589,46.17503467,1786,0.945081486,344,4467,8,8,0,0,0,medium,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Limnohabitans,NA,Gammaproteobacteria
